"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 01 15:50:05 EDT 2025","Sun Jun 01 15:50:11 EDT 2025","6238","","ru.stellar.api.tests.UserLoginTest","","ru.stellar.api.tests.UserLoginTest","testSuccessfulUserLogin","Успешный логин пользователя",""
"passed","Sun Jun 01 15:50:20 EDT 2025","Sun Jun 01 15:50:27 EDT 2025","7014","","ru.stellar.api.tests.GetUserOrdersTest","","ru.stellar.api.tests.GetUserOrdersTest","testGetUserOrdersWithAuth","Получение заказов пользователя с авторизацией",""
"passed","Sun Jun 01 15:50:35 EDT 2025","Sun Jun 01 15:50:38 EDT 2025","2966","","ru.stellar.api.tests.OrderCreationTest","","ru.stellar.api.tests.OrderCreationTest","testCreateOrderWithAuthWithoutIngredients","Создание заказа с авторизацией без ингредиентов",""
"passed","Sun Jun 01 15:50:40 EDT 2025","Sun Jun 01 15:50:43 EDT 2025","2988","","ru.stellar.api.tests.OrderCreationTest","","ru.stellar.api.tests.OrderCreationTest","testCreateOrderWithInvalidIngredientHash","Создание заказа с неверным хешем ингредиентов",""
"passed","Sun Jun 01 15:50:28 EDT 2025","Sun Jun 01 15:50:29 EDT 2025","396","","ru.stellar.api.tests.UserRegistrationTest","","ru.stellar.api.tests.UserRegistrationTest","testRegisterUserWithoutRequiredField","Регистрация пользователя без обязательного поля",""
"passed","Sun Jun 01 15:50:11 EDT 2025","Sun Jun 01 15:50:14 EDT 2025","2445","","ru.stellar.api.tests.UserLoginTest","","ru.stellar.api.tests.UserLoginTest","testLoginWithInvalidCredentials","Логин с неверным логином и паролем",""
"passed","Sun Jun 01 15:50:29 EDT 2025","Sun Jun 01 15:50:29 EDT 2025","454","","ru.stellar.api.tests.UserRegistrationTest","","ru.stellar.api.tests.UserRegistrationTest","testSuccessfulUserRegistration","Успешная регистрация пользователя",""
"passed","Sun Jun 01 15:50:46 EDT 2025","Sun Jun 01 15:50:49 EDT 2025","2616","","ru.stellar.api.tests.UserUpdateTest","","ru.stellar.api.tests.UserUpdateTest","testUpdateUserWithAuth","Изменение данных пользователя с авторизацией",""
"passed","Sun Jun 01 15:50:14 EDT 2025","Sun Jun 01 15:50:20 EDT 2025","6441","","ru.stellar.api.tests.GetUserOrdersTest","","ru.stellar.api.tests.GetUserOrdersTest","testGetUserOrdersWithoutAuth","Получение заказов пользователя без авторизации",""
"passed","Sun Jun 01 15:50:27 EDT 2025","Sun Jun 01 15:50:28 EDT 2025","990","","ru.stellar.api.tests.UserRegistrationTest","","ru.stellar.api.tests.UserRegistrationTest","testRegisterExistingUser","Регистрация уже существующего пользователя",""
"passed","Sun Jun 01 15:50:38 EDT 2025","Sun Jun 01 15:50:40 EDT 2025","2738","","ru.stellar.api.tests.OrderCreationTest","","ru.stellar.api.tests.OrderCreationTest","testCreateOrderWithoutAuthWithoutIngredients","Создание заказа без авторизации без ингредиентов",""
"passed","Sun Jun 01 15:50:49 EDT 2025","Sun Jun 01 15:50:51 EDT 2025","2558","","ru.stellar.api.tests.UserUpdateTest","","ru.stellar.api.tests.UserUpdateTest","testUpdateUserWithoutAuth","Изменение данных пользователя без авторизации",""
"passed","Sun Jun 01 15:50:43 EDT 2025","Sun Jun 01 15:50:46 EDT 2025","2793","","ru.stellar.api.tests.OrderCreationTest","","ru.stellar.api.tests.OrderCreationTest","testCreateOrderWithoutAuthWithIngredients","Создание заказа без авторизации с ингредиентами",""
"passed","Sun Jun 01 15:50:29 EDT 2025","Sun Jun 01 15:50:35 EDT 2025","5613","","ru.stellar.api.tests.OrderCreationTest","","ru.stellar.api.tests.OrderCreationTest","testCreateOrderWithAuthAndIngredients","Создание заказа с авторизацией и ингредиентами",""
